id,code,billing_name,billing_address,billing_type,billing_entity_id,billing_entity_name,billing_entity_role,billing_entity_role_name,billing_entity_json,,,,,,,,,,,,,,,,,,,,
20704,F-2405-00584TJY-L,1 BISHAN MEDICAL PTE. LTD.,283 BISHAN STREET 22  #01-191 Singapore 570283,form_selected,29998,TenantEntity,landlord,Landlord,"{""name"": ""1 BISHAN MEDICAL PTE. LTD."", ""refId"": 29998, ""address"": ""283 BISHAN STREET 22  #01-191 Singapore 570283"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""283 BISHAN STREET 22  #01-191 Singapore 570283"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""570283"", ""streetName"": ""BISHAN STREET 22"", ""unitNumber"": ""#01-191"", ""addressLine"": ""283 BISHAN STREET 22  #01-191 Singapore 570283"", ""blockNumber"": ""283"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
20999,F-2209-00783CHK-L,128 SE PTE LTD,"297 BEDOK SOUTH AVENUE 3  #06-02, BEDOK COURT Singapore 469297",form_selected,24922,TenantEntity,landlord,Landlord,"{""name"": ""128 SE PTE LTD"", ""refId"": 24922, ""address"": ""297 BEDOK SOUTH AVENUE 3  #06-02, BEDOK COURT Singapore 469297"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""297 BEDOK SOUTH AVENUE 3  #06-02, BEDOK COURT Singapore 469297"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""469297"", ""streetName"": ""BEDOK SOUTH AVENUE 3"", ""unitNumber"": ""#06-02"", ""addressLine"": ""297 BEDOK SOUTH AVENUE 3  #06-02, BEDOK COURT Singapore 469297"", ""blockNumber"": ""297"", ""floorNumber"": """", ""buildingName"": ""BEDOK COURT""}}",,,,,,,,,,,,,,,,,,,,
22274,F-2310-00866CKT-L,360 INTERIOR PTE. LTD.,"8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538",form_selected,24977,TenantEntity,landlord,Landlord,"{""name"": ""360 INTERIOR PTE. LTD."", ""refId"": 24977, ""address"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""408538"", ""streetName"": ""UBI ROAD 2"", ""unitNumber"": ""#03-22"", ""addressLine"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""blockNumber"": ""8"", ""floorNumber"": """", ""buildingName"": ""ZERVEX""}}",,,,,,,,,,,,,,,,,,,,
22275,F-2310-00865CKT-L,360 INTERIOR PTE. LTD.,"8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538",form_selected,24977,TenantEntity,landlord,Landlord,"{""name"": ""360 INTERIOR PTE. LTD."", ""refId"": 24977, ""address"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""408538"", ""streetName"": ""UBI ROAD 2"", ""unitNumber"": ""#03-22"", ""addressLine"": ""8 UBI ROAD 2  #03-22, ZERVEX Singapore 408538"", ""blockNumber"": ""8"", ""floorNumber"": """", ""buildingName"": ""ZERVEX""}}",,,,,,,,,,,,,,,,,,,,
23917,CAS-0005034,360 INTERIOR PTE. LTD.,101 WOODLANDS AVENUE 12 #05-19 POLARIS @ WOODLANDS SINGAPORE 737719,form_selected,31668,TenantEntity,landlord,Landlord,"{""name"": ""360 INTERIOR PTE. LTD."", ""refId"": 31668, ""address"": ""101 WOODLANDS AVENUE 12 #05-19 POLARIS @ WOODLANDS SINGAPORE 737719"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""country"": ""Singapore"", ""postalCode"": ""737719"", ""streetName"": ""WOODLANDS AVENUE 12"", ""unitNumber"": ""19"", ""addressLine"": ""101 WOODLANDS AVENUE 12 #05-19 POLARIS @ WOODLANDS SINGAPORE 737719"", ""blockNumber"": ""101"", ""countryCode"": ""SG"", ""floorNumber"": ""05"", ""buildingName"": ""POLARIS @ WOODLANDS""}}",,,,,,,,,,,,,,,,,,,,
21962,F-2209-00699SBH-L,3AK MOTOR PTE LTD,"1 Corporation Drive  #06-19, Revv Singapore 619775",form_selected,29527,TenantEntity,landlord,Landlord,"{""name"": ""3AK MOTOR PTE LTD"", ""refId"": 29527, ""address"": ""1 Corporation Drive  #06-19, Revv Singapore 619775"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""1 Corporation Drive  #06-19, Revv Singapore 619775"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""619775"", ""streetName"": ""Corporation Drive"", ""unitNumber"": ""#06-19"", ""addressLine"": ""1 Corporation Drive  #06-19, Revv Singapore 619775"", ""blockNumber"": ""1"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
21963,F-2209-00698SBH-L,3AK MOTOR PTE LTD,"1 Corporation Drive  #06-18, Revv Singapore 619775",form_selected,29527,TenantEntity,landlord,Landlord,"{""name"": ""3AK MOTOR PTE LTD"", ""refId"": 29527, ""address"": ""1 Corporation Drive  #06-18, Revv Singapore 619775"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""1 Corporation Drive  #06-18, Revv Singapore 619775"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""619775"", ""streetName"": ""Corporation Drive"", ""unitNumber"": ""#06-18"", ""addressLine"": ""1 Corporation Drive  #06-18, Revv Singapore 619775"", ""blockNumber"": ""1"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
19659,F-2112-00576NEH-L,3DS HOLDINGS PTE LTD,976 JURONG WEST STREET 93  #03-385 Singapore 640976,form_selected,27524,TenantEntity,landlord,Landlord,"{""name"": ""3DS HOLDINGS PTE LTD"", ""refId"": 27524, ""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""640976"", ""streetName"": ""JURONG WEST STREET 93"", ""unitNumber"": ""#03-385"", ""addressLine"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""blockNumber"": ""976"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
19721,F-2206-00435NEH-L,3DS HOLDINGS PTE LTD,976 JURONG WEST STREET 93  #03-385 Singapore 640976,form_selected,27524,TenantEntity,landlord,Landlord,"{""name"": ""3DS HOLDINGS PTE LTD"", ""refId"": 27524, ""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""640976"", ""streetName"": ""JURONG WEST STREET 93"", ""unitNumber"": ""#03-385"", ""addressLine"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""blockNumber"": ""976"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
20938,F-2307-00550TKT-L,3DS HOLDINGS PTE LTD,976 JURONG WEST STREET 93  #03-385 Singapore 640976,form_selected,30323,TenantEntity,landlord,Landlord,"{""name"": ""3DS HOLDINGS PTE LTD"", ""refId"": 30323, ""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""640976"", ""streetName"": ""JURONG WEST STREET 93"", ""unitNumber"": ""#03-385"", ""addressLine"": ""976 JURONG WEST STREET 93  #03-385 Singapore 640976"", ""blockNumber"": ""976"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
